Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Packaging Box,Hemp Paper,3.46,8,Recycled Paper,3.46,3
Raincoat,PVC Pipes,3.8,9,HDPE or PEX Pipes,3.71,3
Automotive Component,Recycled Wool,5.84,8, Recycled Wool Insulation,6.0,3
General Appliance Part,DDT (Historical),4.04,10,Natural Pesticides,4.02,2
Electronic Housing,Corn Starch,1.89,8,Biodegradable Cornstarch,1.84,3
Automotive Component,Isocyanates,6.32,10,Natural Polyols or Bio-based Polyurethanes,6.5,4
Electronic Housing,Tritan,5.85,9,Plant-based Tritan,5.8,3
Clothing Apparel,Acrylic Fabric,1.17,7,Hemp Fabric,1.18,2
Electronic Housing,Recycled Granite,6.51,8, Recycled Granite or Recycled Glass,6.45,3
Packaging Box,Volatile Organic Compounds,7.2,9,Water-based Solutions,7.12,3
General Appliance Part,Recycled Glass Bottles,8.66,8,Glass or Biodegradable Bottles,8.51,3
Water Bottle,Coconut Oil-based Bioplastic,4.17,8,Compostable Plastic,4.05,3
Electronic Housing,Asphalt Shingles,5.6,8,Recycled Metal Shingles,5.58,3
Grocery Bag,Polyethylene Terephthalate Glycol,2.65,7,PLA-based materials,2.66,3
Packaging Box,Polyimide,7.73,8,Biodegradable Polyimide,7.74,3
Vinyl Record,PVC Pipes,2.08,9,HDPE or PEX Pipes,2.03,3
Film,Carboxymethyl Cellulose,2.31,7,Natural Modifiers,2.27,2
Jacket,Polyester Carpet,4.82,8,Wool or Sisal Carpet,4.78,3
Automotive Component,Brominated Flame Retardants,1.63,9,Phosphate-based Retardants,1.61,3
Food Container,PET Bottles,4.87,9,Biodegradable Water Bottles,4.8,3
Blanket,Polyester Thread,9.26,8,Organic Cotton or Hemp Thread,8.99,2
Blister Packaging,PET Bottles,8.35,9,Biodegradable Water Bottles,8.52,3
Water Bottle,Plastic Beads,0.17,8,Glass or Wooden Beads,0.17,3
Packaging Box,Ethylene Vinyl Alcohol,1.59,8,Natural Barrier Materials,1.63,3
Automotive Component,Rosewood,0.18,9,Sustainable Plantation Wood,0.18,3
Mattress,Polyurethane (PU),9.12,8, Biodegradable PU,9.0,3
General Appliance Part,Hydrazine,0.56,9,Natural Reducing Agents,0.55,3
Automotive Component,Acetal,4.61,8,Recycled Acetal,4.57,3
Electronic Housing,Coffee Ground Composites,2.48,5,Recycled Coffee Biocomposites,2.54,2
Automotive Component,Lead Solder,8.93,9,Lead-free Solder,8.79,3
Electronic Housing,Carbon Tetrachloride,3.71,10,Water-based Cleaning,3.62,2
Packaging Box,Zein (Corn Protein),8.11,7,Plant-based Protein Films,8.22,2
General Appliance Part,Formalin,4.41,10,Plant-based Preservatives,4.45,3
Toy,Plastic Bags,8.54,9,Reusable Cloth Bags,8.73,2
Pot Handle,Bakelite,0.09,9,Wood-based Composites,0.09,4
Packaging Box,Methyl Chloroform,5.95,9,Citrus-based Solvents,6.13,2
General Appliance Part,Ozone-depleting Substances,8.86,10,Natural Refrigerants,8.86,3
Upholstery,Carbon Fiber,0.07,10,Natural Fiber Composites,0.07,4
Packaging Box,PCB Capacitors,2.6,10,Bio-based Capacitors,2.64,4
Electronic Housing,Polyhydroxyalkanoates,4.66,8,Biodegradable Polyhydroxyalkanoates,4.58,3
Adhesive,Polylactic Acid,5.91,5,Biodegradable Paper,5.79,2
Automotive Component,Alkylphenols,0.12,9,Natural Surfactants,0.12,3
General Appliance Part,Alkylphenols,0.79,9,Natural Surfactants,0.8,3
Shoes,Leather,1.59,9,Plant-based Leather,1.61,3
Packaging Box,Polytetrafluoroethylene,4.57,10,Ceramic Coating,4.62,4
General Appliance Part,Shellac,6.21,7,Plant-based Resin,6.07,2
Car Seat,Polyurethane Coating,1.75,8,Plant-based Coating,1.74,3
Electronic Housing,Styrofoam Cups,2.11,9,Compostable Paper Cups,2.05,3
Water Bottle,PET Film,6.69,7,Cellulose-based Film,6.54,3
Molded Part,Formaldehyde Resins,6.33,8,Natural Adhesives,6.46,2
Electronic Housing,Recycled Wool,0.43,8,Recycled Wool Insulation,0.42,3
Industrial Coating,Terephthalic Acid,7.13,8,Bio-based Acids,7.01,3
Belt,Recycled Leather,8.57,9, Vegan Leather,8.7,3
Storage Container,Polyethylene (Plastic),5.08,9,Jute or Cotton,4.97,2
Automotive Component,Toxaphene,8.97,10,Botanical Pesticides,8.91,2
Packaging Box,Plant-based Paint,2.0,7,Water-based Paint,1.97,2
General Appliance Part,Volatile Organic Compounds,0.15,9,Water-based Solutions,0.15,3
Electronic Housing,Phenol,7.15,9,Natural Phenolics,7.32,3
Storage Container,Coconut Oil-based Bioplastic,3.36,8,Compostable Plastic,3.29,3
Phone Case,Coconut Oil-based Bioplastic,6.87,8, Compostable Plastic,7.05,3
Upholstery,Nettle Fiber,2.46,5,Wild Plant Fiber,2.42,2
Mattress,Polyurethane Coating,6.26,8, Plant-based Coating,6.2,3
Shoe Sole,Natural Rubber,1.98,8,Plant-based Rubber,2.0,3
Toy,Algae-Based Bioplastic,2.55,7,Plant-based Bioplastics,2.54,2
Electronic Housing,Conventional Soil Pots,3.83,7,Biodegradable Peat Pots,3.76,2
Automotive Component,Isocyanates,6.0,10,Natural Polyols or Bio-based Polyurethanes,5.85,4
Sofa Cushion,Polyurethane,6.74,8,Biodegradable Polyurethane,6.6,3
Bearing,Teflon,8.39,10,Ceramic Coating or Cast Iron,8.29,4
General Appliance Part,Polyhydroxybutyrate (PHB),3.42,8, Biodegradable PHB,3.38,3
Packaging Box,Silicone,2.68,9,Plant-based Silicone,2.72,4
Phone Case,Plastic,5.01,10,Paper or Metal,4.95,2
CDs/DVDs,Polycarbonate Panels,7.32,9,Recycled Polycarbonate,7.39,3
General Appliance Part,Polypropylene Carbonate,2.72,8,CO2-based Polymers,2.72,3
Packaging Box,Recycled Paper,8.98,7,Recycled Paper or Plant-based Paper,8.9,2
Mattress,Thermoplastic Polyurethane,4.79,8,Biodegradable TPU,4.89,3
Bag,Polypropylene Fabric,7.63,8,Hemp or Bamboo Fabric,7.43,3
Electronic Housing,Mineral Wool,0.78,8,Recycled Cotton Insulation,0.76,3
Clothing Apparel,Nettle Fiber,9.93,5,Wild Plant Fiber,9.74,2
General Appliance Part,PVB,9.76,8,Recycled Glass or Biodegradable PVB,9.68,3
General Appliance Part,Perchloroethylene,7.51,9,CO2 Cleaning,7.68,3
Packaging Box,Chromated Copper Arsenate,6.2,10,Heat-treated Wood,6.29,3
Lip Balm,Beeswax Wrap,4.65,8,Reusable Beeswax Wrap,4.52,3
Automotive Component,Sisal,3.58,8,Hemp or Bamboo Fiber,3.67,3
Automotive Component,Styrofoam Cups,1.09,9,Compostable Paper Cups,1.09,3
Automotive Component,Pentachlorophenol,6.47,10,Organic Wood Treatment,6.57,3
Toy,Soy Protein Plastics,5.26,8,Plant-based Plastics,5.2,3
Packaging Box,Recycled Steel,2.75,8,Recycled Steel,2.74,2
Bag,Recycled Carbon Fiber,6.12,8,Recycled Carbon Fiber Composites,6.14,3
General Appliance Part,Halogenated Flame Retardants,3.58,9,Mineral-based Flame Retardants,3.53,3
General Appliance Part,Phosgene,1.1,10,Green Chemistry Routes,1.08,4
Packaging Film,Polyethylene Bags,4.87,9,Compostable Cornstarch Bags,4.82,2
Eyeglass Frame,Cellulose Acetate Butyrate,4.39,7,Modified Natural Cellulose,4.49,2
Automotive Component,Recycled Glass Bottles,9.42,8, Glass or Biodegradable Bottles,9.6,3
Packaging Box,Polybutene,0.39,8, Bio-based Polybutene,0.39,3
Automotive Component,Ozone-depleting Substances,5.58,10,Natural Refrigerants,5.56,3
Handbag,Cactus Leather,3.52,7,Desert Plant Leather,3.43,2
Luggage,Bio-based Polycarbonate,2.85,8,Recycled Polycarbonate,2.86,3
Mattress,Polyurethane Foam,1.02,9,Natural Latex or Coconut Fiber,1.03,3
General Appliance Part,Coal Tar,8.21,9,Bio-based Tar,8.06,3
Adhesive,Epoxy Resin,3.84,9,Bio-based Resin,3.95,3
Storage Container,Algae-Based Bioplastic,7.88,7,Plant-based Bioplastics,7.9,2
Electronic Housing,Spider Silk Protein,6.58,8,Recombinant Protein Fibers,6.64,3
Vinyl Record,PVC,1.82,8,Recycled Wood or Bamboo,1.81,3
Wallet,Cactus Leather,0.87,7,Desert Plant Leather,0.85,2
Grocery Bag,Polyethylene Foam,4.53,8,Recycled Foam,4.53,3
Clothing Apparel,Kapok Fiber,9.57,5,Tree Fiber Insulation,9.47,2
Towel,Conventional Cotton,7.24,7,Organic Cotton or Hemp,7.03,3
Packaging Box,Formalin,9.83,10,Plant-based Preservatives,10.05,3
Credit Card,Polyvinyl Chloride (PVC),6.99,8, Recycled PVC,7.04,3
Electronic Housing,Cling Film,7.77,9,Biodegradable Cling Wrap,7.54,2
Bag,Polypropylene Fabric,3.1,8,Hemp or Bamboo Fabric,3.12,3
Automotive Component,Plant-based Paint,8.87,7,Water-based Paint,8.78,2
Electronic Housing,Recycled Aluminum Cans,0.28,8,Recycled Aluminum,0.28,3
Upholstery,Natural Fiberboard,9.7,8, Recycled Wood Fiberboard,9.78,3
General Appliance Part,Polyvinyl Alcohol (PVA),6.47,8, Biodegradable PVA,6.48,3
Packaging Box,Agar,0.26,8,Plant-based Agar,0.26,3
Pen,Bio-based Bioplastic,6.52,8, Plant-based Bioplastics,6.7,3
Storage Container,Coconut Oil-based Bioplastic,5.55,8, Compostable Plastic,5.38,3
Automotive Component,Ethylene Oxide,9.38,9,Natural Sterilization,9.59,3
Shampoo Bottle,Polyethylene Terephthalate Glycol,1.22,7,PLA-based materials,1.22,3
Upholstery,Fiberglass,1.57,9,Bamboo or Hemp Composites,1.58,3
Upholstery,Fiberglass Insulation,2.26,9,Cellulose Insulation,2.25,3
Electronic Housing,Polypropylene,3.78,8, Glass,3.8,3
Packaging Box,Hexavalent Chromium,2.75,10,Trivalent Chromium,2.71,4
Tote Bag,Cotton,3.56,7,Organic Cotton,3.51,2
Clothing Apparel,Fiberglass,1.47,9,Bamboo or Hemp Composites,1.44,3
Belt,Grape Leather,4.56,6,Wine Industry Byproduct Leather,4.68,2
Sofa Cushion,Polyurethane Foam,1.24,9,Natural Latex or Coconut Fiber,1.26,3
Electronic Housing,Tritan,3.61,9,Plant-based Tritan,3.51,3
Molded Part,Sulfuric Acid,3.07,9,Citric Acid for Light Cleaning,3.16,2
Storage Container,Milk Protein Plastics,7.7,8,Plant-based Plastics,7.54,3
General Appliance Part,Ozone-depleting Substances,1.64,10,Natural Refrigerants,1.65,3
Automotive Component,Natural Stone,6.16,7,Recycled Stone,6.19,3
Insulation Panel,Polyurethane Varnish,8.27,8,Natural Oil Varnish,8.13,3
Electronic Housing,Traditional Nail Polish,5.86,8,Water-based Nail Polish,5.86,3
Toothbrush Bristles,Nylon Rope,1.23,7,Jute or Hemp Rope,1.21,2
Pen,Thermoplastic Elastomers,3.01,8,Biodegradable Elastomers,2.93,3
Automotive Component,Trichloroethylene,4.39,9,Aqueous Cleaners,4.5,3
General Appliance Part,Algae Oil,9.29,8, Plant-based Oil,9.55,3
Shoes,Leather,7.51,9, Plant-based Leather,7.55,3
Electronic Housing,Formalin,1.11,10,Plant-based Preservatives,1.12,3
Automotive Component,Acrylonitrile Styrene Acrylate,1.58,8,Bio-based Copolymers,1.62,3
Bag,Flax Fiber,4.67,7,Bamboo Fiber,4.54,2
Pen,Algae-Based Bioplastic,0.22,7,Plant-based Bioplastics,0.21,2
Packaging Box,Laminated Wood,9.9,8,Recycled Wood,9.87,3
Electronic Housing,Jute,6.55,8,Bamboo Fiber,6.7,3
Automotive Component,Sisal,2.47,8,Hemp or Bamboo Fiber,2.53,3
General Appliance Part,Acrylonitrile,2.34,9,Bio-based Nitriles,2.37,3
Soda Bottle,PET,5.56,8,PLA Bioplastic,5.59,3
Packaging Box,Ethylene Vinyl Acetate (EVA),6.82,8, Recycled EVA,6.74,3
General Appliance Part,Polyhydroxyalkanoates,6.57,8,Biodegradable Polyhydroxyalkanoates,6.6,3
Sportswear,Bio-based Polyester,4.28,7,Recycled Polyester,4.32,2
Automotive Component,Sunflower Oil,2.2,8,Plant-based Oil,2.21,3
Packaging Box,Recycled Steel,1.33,8,Recycled Steel or Aluminum,1.35,3
Packaging Box,Recycled Steel,6.74,8, Recycled Steel or Aluminum,6.61,3
Electronic Housing,Butadiene,0.26,8,Bio-based Dienes,0.26,3
Phone Case,Plastic Beads,8.46,8,Glass or Wooden Beads,8.44,3
Electronic Housing,Glass Containers,9.87,8,Recycled Glass,9.82,3
Car Seat,Polyurethane Varnish,0.81,8,Natural Oil Varnish,0.79,3
Packaging Box,Alkylphenols,6.22,9,Natural Surfactants,6.36,3
General Appliance Part,Cling Film,1.38,9,Biodegradable Cling Wrap,1.4,2
Blanket,Polyester Bags,8.85,8,Cotton or Canvas Bags,8.99,2
Luggage,Bio-based Polycarbonate,6.27,8,Recycled Polycarbonate,6.14,3
Packaging Box,Asphalt Shingles,9.37,8,Recycled Metal Shingles,9.61,3
Electronic Housing,Perfluorocarbons,3.56,10,Silicon-based Alternatives,3.62,4
General Appliance Part,Acrylic Yarn,3.83,8,Bamboo Yarn or Organic Cotton Yarn,3.77,2
Water Bottle,PETG,5.54,7,PLA-based materials,5.55,3
Packaging Film,Chlorinated Polyethylene,2.8,9,Natural Elastomers,2.77,3
Phone Case,Polyethylene (Plastic),0.11,9,Jute or Cotton,0.11,2
Sofa Cushion,Thermoplastic Polyurethane,3.31,8,Biodegradable TPU,3.26,3
Water Bottle,Bio-based Bioplastic,7.81,8, Plant-based Bioplastics,7.9,3
Packaging Box,Eucalyptus,2.6,8,Recycled Eucalyptus,2.6,3
Packaging Box,Methyl Isocyanate,6.48,10,Non-isocyanate Chemistry,6.61,4
Packaging Box,Polyoxymethylene,8.04,8,Natural Acetals,8.2,3
Electronic Housing,Rapeseed Oil,0.82,8, Vegetable-based Oil,0.83,3
Packaging Box,Perfluorocarbons,1.71,10,Silicon-based Alternatives,1.76,4
Packaging Film,Polyethylene Foam,9.77,8, Recycled Foam,10.02,3
Clothing Apparel,Pineapple Leaf Fiber,2.03,6,Piñatex,2.0,2
Electronic Housing,Recycled Paper,7.62,7,Recycled Paper or Plant-based Paper,7.79,2
Phone Case,Thermoplastic Vulcanizates,6.69,8, Biodegradable Thermoplastic,6.75,3
Packaging Box,Polyhydroxyalkanoates,2.26,8,Biodegradable Polyhydroxyalkanoates,2.25,3
Electronic Housing,Acrylonitrile Styrene Acrylate,8.6,8,Bio-based Copolymers,8.6,3
Automotive Component,Vinyl,5.05,8,Recycled Wood or Bamboo,5.17,3
Automotive Component,Acrylic Yarn,0.52,8,Bamboo Yarn or Organic Cotton Yarn,0.51,2
Automotive Component,Rosewood,2.53,9,Sustainable Plantation Wood,2.56,3
Automotive Component,Asphalt Shingles,1.41,8,Recycled Metal Shingles,1.44,3
Industrial Coating,Chromic Acid,2.07,9,Citric Acid,2.01,2
Car Seat,Polyurethane Foam,6.22,9,Natural Latex or Coconut Fiber,6.15,3
Packaging Box,PTFE,2.63,10,Ceramic Coating or Cast Iron,2.68,4
Automotive Component,Paper Packaging,6.62,8,Biodegradable Paper Packaging,6.45,3
Packaging Box,Tencel,5.48,8,Hemp or Organic Cotton,5.55,3
Film,Ethyl Cellulose,4.4,7,Plant-based Cellulose,4.37,2
Upholstery,Recycled Carbon Fiber,8.9,8,Recycled Carbon Fiber Composites,8.92,3
Electronic Housing,Trichloroethylene,1.98,9,Aqueous Cleaners,1.98,3
Handbag,Cactus Leather,8.33,7,Desert Plant Leather,8.09,2
Electronic Housing,Sisal,6.83,8,Hemp or Bamboo Fiber,6.94,3
Soda Bottle,PETG,5.17,7,PLA-based materials,5.15,3
Safety Glasses,Polycarbonate,9.81,9,Glass or Tritan Copolyester,9.52,4
Electronic Housing,Polysulfone,9.06,9,Natural Sulfone Polymers,9.27,4
Electronic Housing,Polyamide 6,1.97,7,Biodegradable Polyamide,2.02,3
Automotive Component,Chlorofluorocarbons,7.76,10,Natural Refrigerants,7.74,3
Squeeze Bottle,Polyethylene Terephthalate Glycol,0.81,7,PLA-based materials,0.83,3
Electronic Housing,Chlorofluorocarbons,1.46,10,Natural Refrigerants,1.45,3
Automotive Component,Lead Solder,0.53,9,Lead-free Solder,0.54,3
Packaging Box,Polyisocyanurate,4.85,8, Bio-based Polyisocyanurate,4.97,3
Automotive Component,Polyoxymethylene,9.97,8,Natural Acetals,9.71,3
Pen,Corn Plastic,0.8,7, Compostable Corn Plastic,0.81,2
Umbrella,Nylon Bristles,7.71,7,Bamboo or Plant-based Bristles,7.61,2
Tool Handle,Bacterial Cellulose,8.35,6,Microbial Cellulose Films,8.27,2
Tool Handle,Ethyl Cellulose,0.26,7,Plant-based Cellulose,0.26,2
Car Seat,Polyurethane Coating,6.54,8,Plant-based Coating,6.56,3
Packaging Box,Polyvinyl Alcohol,3.98,8,Biodegradable PVA,3.95,3
Pen,Plastic,8.73,10,Paper or Metal,8.8,2
Electronic Housing,DDT (Historical),2.01,10,Natural Pesticides,2.07,2
Automotive Component,Acetal,2.08,8,Recycled Acetal,2.08,3
Squeeze Bottle,Bio-polyethylene,4.21,8,Biodegradable Polyethylene,4.15,3
Storage Container,Polyethylene (Plastic),0.87,9,Jute or Cotton,0.88,2
Adhesive,Terephthalic Acid,3.21,8,Bio-based Acids,3.27,3
Electronic Housing,Recycled Glass Bottles,4.29,8,Glass or Biodegradable Bottles,4.21,3
Electronic Housing,Recycled Granite,9.03,8, Recycled Granite or Recycled Glass,9.17,3
Adhesive,Terephthalic Acid,3.98,8,Recycled PET,3.88,3
General Appliance Part,Vinyl Acetate,2.77,8,Natural Acetylation,2.73,3
Tire,Recycled Tyre Rubber,7.22,9,Recycled Rubber,7.3,3
Electronic Housing,Coal Tar,5.84,9,Bio-based Tar,5.89,3
Automotive Component,Triclosan,7.03,10,Essential Oil-based Antimicrobials,6.98,3
Grocery Bag,Polyethylene Foam,1.38,8,Recycled Foam,1.4,3
Phone Case,Plastic Straws,6.29,9,Bamboo or Metal Straws,6.11,2
Automotive Component,Cadmium Pigments,3.19,10,Natural Earth Pigments,3.11,2
Squeeze Bottle,Recycled Polyethylene Terephthalate (rPET),6.49,8, Bio-based PET,6.62,3
Safety Glasses,Polycarbonate Panels,6.48,9,Recycled Polycarbonate,6.32,3
Toy,Thermoplastic Vulcanizates,8.66,8, Biodegradable Thermoplastic,8.49,3
Upholstery,Recycled Carbon Fiber,0.36,8,Recycled Carbon Fiber Composites,0.36,3
Automotive Component,Polyvinyl Acetate Emulsion,8.61,8,Starch-based Adhesive,8.52,3
Electronic Housing,Silicone,6.1,9,Plant-based Silicone,6.21,4
Packaging Film,High-Density Polyethylene,5.26,8,Biodegradable HDPE,5.18,3
Electronic Housing,Hemp Paper,2.84,8, Recycled Paper,2.79,3
Jacket,Polyester Carpet,1.51,8,Wool or Sisal Carpet,1.54,3
Candle,Traditional Candle Wax,6.53,8,Soy Wax or Beeswax,6.43,2
Molded Part,Polylactic Acid,5.74,5,Biodegradable Paper,5.63,2
Automotive Component,Natural Stone,0.87,7, Recycled Stone,0.89,3
Phone Case,Coconut Oil-based Bioplastic,7.12,8, Compostable Plastic,7.29,3
Electronic Housing,Soybean Oil,3.36,8, Bio-based Oil,3.29,3
General Appliance Part,Styrofoam Cups,6.79,9,Compostable Paper Cups,6.65,3
Automotive Component,Silk,9.59,8,Synthetic Silk,9.5,3
Packaging Box,Silicone,7.15,9,Plant-based Silicone,7.15,4
Toothbrush Bristles,Nylon 66,3.08,8,Biodegradable Polymers,3.14,3
Electronic Housing,Shellac,2.64,7,Plant-based Resin,2.62,2
General Appliance Part,Tritan,0.2,9,Plant-based Tritan,0.19,3
Packaging Box,Mercury Thermometers,2.92,10,Digital or Gallium-based,2.95,2
Automotive Component,Compostable PLA,8.77,7,Plant-based PLA,8.93,2
Food Container,Polyester Carpet,1.57,8,Wool or Sisal Carpet,1.61,3
Automotive Component,Recycled Paper Straws,9.77,8,Compostable Paper Straws,9.73,3
Automotive Component,Soy-based Ink,9.96,7,Water-based Ink,10.24,2
Phone Case,Thermoplastic Polyurethane,3.84,8,Biodegradable TPU,3.93,3
Toy,Plastic Beads,5.66,8,Glass or Wooden Beads,5.59,3
Automotive Component,Polyamide 6,1.54,7,Biodegradable Polyamide,1.55,3
Packaging Box,Recycled Steel,1.85,8,Recycled Steel,1.9,2
Tire,Silicone Rubber,9.12,6, Natural Latex or Biodegradable Silicone,8.95,3
Packaging Film,Polyethylene Bags,7.77,9,Compostable Cornstarch Bags,8.0,2
Electronic Housing,Polypropylene,9.8,8, Glass,9.76,3
Upholstery,Bamboo Fabric,9.16,8,Organic Cotton,9.15,3
Sportswear,Polyester Bags,6.75,8,Cotton or Canvas Bags,6.89,2
Phone Case,Plastic Bottles,7.57,9,Glass or Metal Bottles,7.52,2
General Appliance Part,Polysulfone,2.4,9,Natural Sulfone Polymers,2.39,4
Electronic Housing,Vinyl Upholstery,3.29,9,Cork Leather or Fabric,3.27,3
Electronic Housing,Microfiber,4.98,8,Hemp or Bamboo Fibers,4.99,3
General Appliance Part,Chlorofluorocarbons,0.11,10,Natural Refrigerants,0.11,3
Upholstery,MDF (Medium-Density Fiberboard),5.33,8,Bamboo Plywood,5.3,3
Automotive Component,Synthetic Insulation,9.92,8,Recycled Cotton Insulation,9.84,2
Electronic Housing,Biodegradable Paint,4.12,7, Natural Paints,4.12,2
Eyeglass Frame,Hydroxypropyl Cellulose,9.9,7,Modified Plant Cellulose,9.82,2
Sponge,Ethyl Cellulose,1.2,7,Plant-based Cellulose,1.18,2
Packaging Box,Polysulfone,3.02,8,Bio-based PSU or Recycled Polysulfone,3.05,3
Automotive Component,Lindane,4.91,10,Natural Insecticides,4.8,2
Sportswear,Polyester Thread,7.06,8,Organic Cotton or Hemp Thread,7.08,2
Automotive Component,PCB Capacitors,4.11,10,Bio-based Capacitors,4.05,4
Automotive Component,Kevlar,4.23,9,High-strength Natural Fibers,4.12,4
Electronic Housing,Perchloroethylene,1.76,9,CO2 Cleaning,1.76,3
Packaging Box,Recycled Steel,5.44,8,Recycled Steel or Aluminum,5.38,3
General Appliance Part,Epichlorohydrin,7.79,9,Bio-based Epoxy,7.7,3
General Appliance Part,Dimethylformamide,1.69,9,Bio-based Solvents,1.69,3
Stockings,Nylon,9.18,7,Organic Cotton or Recycled Nylon,8.91,3
Electronic Housing,Mirex,4.48,10,Organic Pest Control,4.46,2
Adhesive,Polylactic Acid Film,4.47,8,Biodegradable Film,4.41,3
General Appliance Part,Silk,7.06,8,Synthetic Silk,7.22,3
Automotive Component,Eucalyptus,4.04,8,Recycled Eucalyptus,4.16,3
Sportswear,Polyester Fiberfill,5.73,8,Kapok or Wool,5.81,2
Sportswear,Polyester Fiberfill,4.47,8,Kapok or Wool,4.45,2
Sportswear,Recycled Polyester,3.44,8,Recycled Polyester or Organic Cotton,3.44,3
Upholstery,MDF (Medium-Density Fiberboard),1.7,8,Bamboo Plywood,1.67,3
General Appliance Part,Methylene Chloride Paint Strippers,4.17,9,Soy-based Strippers,4.19,3
Film,Cellulose,4.61,8,Recycled Cellulose,4.52,3
Jacket,Polyester Fabric,2.66,7,Tencel or Modal,2.6,2
Sportswear,Polyester Thread,3.65,8,Organic Cotton or Hemp Thread,3.55,2
Automotive Component,Recycled Granite,8.17,8, Recycled Granite or Recycled Glass,8.32,3
Automotive Component,Polypropylene,8.56,8,Glass,8.36,3
Water Bottle,PET,9.72,8,PLA Bioplastic,9.87,3
General Appliance Part,Jute,7.69,8,Bamboo Fiber,7.53,3
Squeeze Bottle,Polyethylene (Plastic),7.47,9,Jute or Cotton,7.39,2
Packaging Box,Recycled Paper Bags,6.13,7,Compostable Paper Bags,6.1,3
Automotive Component,Recycled Paper,7.66,7,Recycled Paper or Plant-based Paper,7.84,2
General Appliance Part,Polyimide,5.61,8,Biodegradable Polyimide,5.61,3
Electronic Housing,Compostable Utensils,9.26,8, Bamboo or Palm Leaf Utensils,9.53,3
Electronic Housing,Non-Woven Polypropylene,8.97,8,Organic Cotton Fabric,8.97,2
Electronic Housing,Polyhydroxyalkanoates,9.82,8,Biodegradable Polyhydroxyalkanoates,9.9,3
Car Seat,Polyurethane,1.34,8,Biodegradable Polyurethane,1.34,3
Electronic Housing,Styrene Acrylonitrile,0.58,8,Natural Copolymers,0.56,3
General Appliance Part,Synthetic Adhesive,0.82,9,Starch-based or Resin Glue,0.8,3
